url,judul,berita,tagging
https://turnbackhoax.id/2021/04/22/salah-pancasila-dan-bahasa-indonesia-dihapus-dari-kurikulum-pendidikan-tinggi/,[SALAH] Pancasila dan Bahasa Indonesia Dihapus dari Kurikulum Pendidikan Tinggi,TUHAN TIDAK SUKA”,Hoax
https://turnbackhoax.id/2021/04/22/salah-arnold-schwarzenegger-tidur-di-luar-hotel-karena-tidak-dapat-memesan-kamar/,[SALAH] Arnold Schwarzenegger Tidur di Luar Hotel Karena Tidak Dapat Memesan Kamar,"“Penghargaan manusia hanya sementara.Arnold Schwarzenegger, mantan Gubernur California & Body Builder. Ketika sudah pensiun, tidak dapat booking kamar di sebuah hotel. Padahal hotel tsb masih berhiaskan patungnya di masa jaya.Akhirnya Arnold tidur diluar di bawah patungnya.”",Hoax
https://turnbackhoax.id/2021/04/21/salah-sempat-melawan-saat-akan-ditangkap-penghina-nabi-ditembak-mati/,[SALAH] “SEMPAT MELAWAN SAAT AKAN DITANGKAP PENGHINA NABI DITEMBAK MATI”,"BERITA TERBARU ~ SEMPAT MELAWAN SAAT AKAN DITANGKAP PENGHINA NABI AKHIRNYA DITEMBAK M4,T11 ?!?",Hoax
https://turnbackhoax.id/2021/04/21/salah-makan-bawang-mentah-dan-garam-bisa-ubah-positif-covid-19-menjadi-negatif-setelah-15-menit/,[SALAH] Makan Bawang Mentah dan Garam bisa Ubah Positif Covid-19 Menjadi Negatif setelah 15 Menit,"” Setelah 15 menit makan bawang mentah kupas dengan garam batu, orang berubah menjadi negatif dari positif.MawarBendera TajikistanJempolan *",Hoax
https://turnbackhoax.id/2021/04/21/salah-ustadz-zacky-mirza-meninggal-dunia/,[SALAH] Ustadz Zacky Mirza Meninggal Dunia,“INNALILLAHI WIR Berita Duka Cita. telah berpulang ke Rahmatullah Ustad Zacky Mirza. Jatuh sakit ktk memimpin jikir dlm Ceramah Safari Ramadhan di Mesjid Pekanbaru Senin malam Ahad 17 April 2021 SMG almarhum tenang disisi Allah”,Hoax
https://turnbackhoax.id/2021/04/21/salah-kenaikan-limfosit-usai-vaksin-sebabkan-kematian/,"[SALAH] Kenaikan Limfosit Usai Vaksin, Sebabkan Kematian","“Kenaikan antibodi setelah divaksin adalah limfositosis. Jika limfosit pembunuh sudah ada, maka Bye-Bye dunia!”",Hoax
https://turnbackhoax.id/2021/04/20/salah-foto-anak-piatu-iraq-melukis-sosok-ibunya-di-lantai-dan-tidur-di-posisi-dada-ibunya/,[SALAH] Foto Anak Piatu Iraq Melukis Sosok Ibunya di Lantai dan Tidur di Posisi Dada Ibunya,,Hoax
https://turnbackhoax.id/2021/04/20/salah-baim-wong-adakan-giveaway-sebesar-rp100-juta/,[SALAH] Baim Wong Adakan Giveaway Sebesar Rp100 Juta,“Halo Kak! Aku Winda Dari Team Giveaway BAIM WONG Anda Memenangkan Hadiah Uang 100Jt dari kami info klik: https://wa.me/+6285796306857”,Hoax
https://turnbackhoax.id/2021/04/20/salah-ditendang-dari-istana-karir-prabowo-berakhir-tragis-di-tangan-jokowi/,[SALAH] Ditendang dari Istana Karir Prabowo Berakhir Tragis di Tangan Jokowi,"“Berita Terkini~ Niat Busuk Prabowo Terbongkar, Karir Politik Diujung Tanduk”“AKHIRNYA TERJADI..!!! DITENDANG DARI ISTANA, KARIR PRABOWO BERAKHIR TRAGIS DITANGAN JOKOWI”",Hoax
https://turnbackhoax.id/2021/04/20/salah-cover-majalah-tempo-edisi-29-oktober-2020-bergambar-jokowi-ditenggelamkan/,[SALAH] Cover Majalah TEMPO Edisi 29 Oktober 2020 Bergambar Jokowi Ditenggelamkan,"EDISI 29 OKTOBER 2020TEMPOENAK DIBACA DAN PERLUJIKA TIDAK MAMPU JANGANMEMAKSA,DIDARAT BUKAN HABITATMUPAK, TENGGELAM SAJASEPERTI SEMULAHIDUP TAK SE4NJING ERAMU PAK !!Pencarian fakta dilakukan dengan mesin pencari Google untuk mengetahui cover majalah TEMPO edisi 29 Oktober 2020. Setelah dilakukan penelusuran fakta terkait, diketahui bahwa cover majalah TEMPO yang dibagikan oleh Rahmi Siregar adalah HASIL MANIPULASI.Dalam website resmi majalah.tempo.co, diketahui bahwa edisi 29 Oktober 2020 tidak tersedia. Pada bulan Oktober 2020, majalah TEMPO hanya merilis 5 edisi, yakni edisi 03, 10, 17, 24, 30 Oktober 2020, dari kelima edisi tersebut tidak ada yang membahas Presiden Jokowi ataupun bergambar Presiden Jokowi.“Pamer Si Komo ke Tamu AsingPemerintah pusat dan daerah menargetkan pembangunan aneka fasilitas wisata premium di sekitar Labuan Baji dan Taman Nasional Komodo rampung pada Juni tahun depan. Agar bisa pamer di komo kepada pemimpin sejumlah negara yang bakal menghadiri pertemuan tingkat tinggi pada 2023”.Berdasarkan data yang terkumpul dapat disimpulkan bahwa klaim akun Rahmi Siregar adalah HOAX dan termasuk kategori Konten yang Dimanipulasi.",Hoax
