url,judul,berita,tagging
https://news.detik.com/berita/d-3952102/kafe-tempat-cutfil-kerja-sudah-diperiksa-pemprov-dki,Kafe Tempat Cutfil Kerja Sudah Diperiksa Pemprov DKI,"Jakarta - Manajer Rock and Goal Sports Bar Kelapa Gading, Alfin Fardomi, menyatakan kafenya itu sudah diperiksa oleh pihak Pemprov DKI Jakarta. Hal ini terkait hasil autopsi Cutfil yang mengandung alkohol dan narkotika. ""Kemarin Senin (2/4) dia (pihak Pemprov) datang pukul 19.30 WIB. Pas datang di cek semuanya sampai ke (lantai) atas, dia bilang izin mau cek ke atas. Saya bilang silakan,"" ujar Alfin Fardomi kepada detikcom di Rock and Goal Sports Bar, Kelapa Gading, Jakarta Utara, Selasa (3/4/2018).Alfin mengatakan ada tiga pihak Pemprov yang datang ke kafe tersebut. Dari tiga lantai yang dimiliki Rock and Goal Sports Bar, Pemprov hanya melakukan pemeriksaan sampai lantai dua.""Periksa cuma sampai lantai dua, saya tawarin ke atas (lantai 3) kantor saya tapi mereka nggak mau, sehabis itu ngobrol lagi di bawah,"" katanya. Setelah melakukan pemeriksaan, jelas Alfin, pihak Pemprov menanyakan beberapa hal kepadanya. Mulai dari kronologi sampai bentuk pengawasan yang dilakukan kepada pihak karyawannya. ""Saya suruh tulis kronologi, terus suruh lampirin surat perizinan, sama bukti saya pernah pecat karyawan karena pemakai (narkoba) atau karena terlibat (narkoba),"" ucapnya. ""Periksa semua sih banner-nya, pengawasan saya. Sempat ditanya juga, saya tahu atau nggak ciri-ciri orang pemakai bagaimana. Nyatanya memang saya nggak tahu. Itu karyawan di sini juga ditanyain satu-satu,"" tambahnya. Alfin juga mengatakan pihak Suku Dinas Pariwisata dan Kebudayaan Jakarta Utara sering datang untuk melakukan pemeriksaan. Jelas Alfin, kafe tersebut diperiksa rutin sebulan sekali. ""Sudin Pariwisata Jakarta Utara juga sering mengecek sebulan sekali, ngecek banner, ke atas juga, terus kalau ada sosialisasi Pergub baru, biasanya (datang) dadakan kok pemeriksaannya, dan kita siap-siap aja,"" tutupnya.",Valid
https://news.detik.com/berita/d-3952091/manajer-kafe-cutfil-kesurupan-sebelum-pulang-kerja,Manajer Kafe: Cutfil Kesurupan Sebelum Pulang Kerja,"Jakarta - Manajer Rock and Goal Sports Bar, Alfin Fardomi, menyebut Cutfil berbeda perilaku di malam hari sebelum kejadian. Pihaknya mengatakan Cutfil sempat kesurupan sebelum pulang ke rumah. Alfin mengatakan, pada Jumat (30/3) malam, dirinya dan rekan merasakan hal yang aneh. Cutfil membelikan banyak makanan untuk karyawan lain sampai makanan tersebut tidak habis. Baca juga: Cutfil Terindikasi Narkoba, Kafe Tempat Kerjanya akan Dicek Anies""Firasat mungkin malam itu dia beliin makanan buat anak-anak. Biasanya nggak, tapi malam itu nggak tahu dia bisa beli makanan banyak banget, sampai bersisa gitu,"" ujarnya kepada detikcom ketika ditemui di Rock and Goal Sports Bar, Kelapa Gading, Jakarta Utara, Selasa (3/4/2018).Tidak hanya itu, keanehan lain juga dirasakan Alfin ketika waktu istirahat pukul 10.00 WIB. Saat itu Cutfil beristirahat dengan menyendiri. ""Istirahatnya malam itu sendiri, dia duduk di lorong arah ke kantor saya, biasanya mah kalau istirahat duduk-duduk di depan karena kedinginan kan di dalam,"" ucapnya. 30 WIB, saat karyawan bersiap pulang. Alfin menjelaskan Cutfil sempat mengalami kesurupan. Namun ia kembali pulih setelah ditolong karyawan lain. ""Kenapa kita bilang kesurupan karena mintanya aneh-aneh, dia (Cutfil) bilang 'Lu udah ngotorin tempat gue', 'Lu buang pembalut sembarangan', terus minta darah. Akhirnya anak-anak baca doa yang sesama muslim, terus dia sudah bisa mengenali semuanya,"" tuturnya. Alfin menyebut, setelah sadar, Cutfil langsung berganti baju dan mengambil tas. Kemudian Cutfil juga sempat meminta dipesankan taksi online.""Karena dia keluar dari sini totally clear kok, udah bisa ganti baju, nyari tas sendiri malah bisa, minta mesenin Grab pakai HP dia,"" imbuhnya. Alfin menambahkan Cutfil memiliki pribadi yang baik di lokasi kerjanya tersebut. Cutfil, yang bekerja sebagai pelayan, tidak pernah punya masalah dengan rekan kerja lainnya. ""Nggak pernah sih, kalau berantem sama karyawan sini, dia supel si cerewet, makanya kalau ada masalah kita udah tau. Malah dia termasuk yang senior sih di sini, dia juga loyal sama saya,"" tuturnya. Salah satu teman kerja yang enggan disebutkan namanya mengatakan kepribadian Cutfil yang baik. Dia mengaku sering bercerita secara pribadi kepada Cutfil. ""Baik kok, sering ngobrol, sharing biasa aja sih, masalah kerjaan paling pribadi, lebih ke pribadi saya yang curhat ke dia,"" tutupnya. Sebelumnya, sesosok mayat perempuan ditemukan dalam saluran air di Kalibaru, Cilincing, Jakarta Utara. Korban diketahui bernama Cutfil Margareth (30), karyawati di sebuah kafe di Kelapa Gading, Jakarta Utara.""Iya, korban adalah karyawati di Rock and Goal Sports Bar, Kelapa Gading. Sebagai bartender atau apa gitu,"" kata Kapolres Pelabuhan Tanjung Priok AKBP Eko Hadi Santoso saat dihubungi detikcom, Minggu (1/4).Korban ditemukan tewas tertelungkup di saluran air di depan PT Transporinda Lima perkasa, Jl Sindang Laut, Kalibaru, Cilincing, Jakarta Utara, Sabtu (31/3) pagi. Saat ditemukan, korban mengenakan celana jins dan jaket berwarna biru serta membawa tas berwarna kuning keemasan berisi dompet, telepon seluler, dan barang lainnya.",Valid
https://news.detik.com/berita-jawa-tengah/d-3952056/prosesi-ibadah-usai-keluarga-besan-jokowi-mohon-maaf,"Prosesi Ibadah Usai, Keluarga Besan Jokowi Mohon Maaf","Solo - Jenazah besan Presiden Joko Widodo, Didit Supriyadi, disemayamkan di rumah duka, Jalan Kutai Barat, Sumber, Banjarsari, Solo. Malam ini, Selasa (3/4/2018), serangkaian ibadah tata cara Katolik digelar di rumah duka.Presiden Joko Widodo yang turut hadir, tampak duduk di deretan kursi bagian depan bersama Menteri Pertanian Amran Sulaiman dan Calon Gubernur Jawa Tengah Ganjar Pranowo.Di belakangnya, terlihat putra presiden sekaligus menantu almarhum Didit, Gibran Rakabuming Raka duduk bersebelahan dengan suami Kahiyang, Bobby Nasution.Ibadah berlangsung dengan khidmat sejak sekitar pukul 19.00 WIB. Doa dan ibadah-ibadah lainnya selesai pada pukul 20.45 WIB. Para tamu turut meninggalkan rumah duka.Mewakili keluarga, Gibran memohon maaf apabila almarhum selama hidupnya memiliki kesalahan. Dia juga memohon doa agar almarhum mendapatkan tempat terbaik di sisi Tuhan.Turut mendampingi Gibran, sang istri, Selvi Ananda, juga kakak iparnya, Dita Andini dan Dendy Purbowo. Baik Selvi maupun Dita tampak tak dapat menahan air matanya karena ditinggal ayah tercinta.""Dengan kerendahan hati, kami memohon dibukakan pintu maaf atas segala kesalahan almarhum selama bersama kita. Mohon juga didoakan agar alm mendapat tempat terbaik di sisi Tuhan,"" kata Gibran dalam jumpa pers.Gibran mewakili keluarga Foto: Bayu Ardi Isnanto/detikcomDia mengatakan bahwa ayah mertuanya telah mendapatkan perawatan di RSUD dr Moewardi selama beberapa waktu. Hingga akhirnya ayah Selvi Ananda itu meninggal pukul 09.00 tadi.Jenazah Didit rencananya akan dimakamkan besok, Rabu (4/4) di TPU Purwoloyo, Pucangsawit, Jebres, Solo, pukul 11.00 WIB.",Valid
https://news.detik.com/berita/d-3952054/sandiaga-pastikan-dana-pelatda-pon-2020-sudah-tersedia,Sandiaga Pastikan Dana Pelatda PON 2020 Sudah Tersedia,"Jakarta - Wakil Gubernur DKI Jakarta Sandiaga Uno mengaku telah menghubungi Bendahara Umum KONI terkait dana pelatda bagi para atlet DKI Jakarta yang akan berlaga di PON 2020. Ia menyatakan dana pelatda sudah tersedia.""Tadi saya langsung kontak ke Bendum KONI. Sekarang sebetulnya dananya sudah ada di tempatnya Pak Ratiyono tapi menunggu konfirmasi dari cabor dan memastikan by name by address kepada atlet yang tepat betul-betul nama dan rekeningnya terverifikasi. Kalau uangnya sih sudah ada, nggak ada masalah,"" kata Sandi di Balai Kota, Jalan Medan Merdeka Selatan, Jakarta Pusat, Selasa (3/4/2018). Tujuannya agar para atlet di Jakarta tidak merasa kecewa sehingga berpindah ke provinsi lain.""Saya pengalaman ngurus atlet, mereka udah berlatih kalau ongkos tidak diganti dan gaji tidak dibayar pasti akan sangat kecewa dan akan ditampung dengan provinsi lain. Jadi ini merupakan wake up call buat mereka karena mau juara umum lagi berarti pengelolaan harus lebih baik,"" tutur Sandi.Sandi mengakui bayaran atlet DKI tidak tinggi. Namun Sandi menjamin atlet DKI bisa berkesempatan untuk lebih berprestasi di kancah internasional karena fasilitas olahraga di Jakarta merupakan yang terbaik.""DKI mungkin tidak bisa memberikan yang terbaik dari segi jumlah bayaran atau fasilitas, tapi DKI akan membuka peluang mereka untuk bisa menjadi atlet yang lebih baik lagi. Karena mereka mendapatkan kesempatan bertanding lebih banyak, mereka punya kesempatan dikirim ke luar negeri lebih banyak, Asian Games juga di Jakarta,"" terang Sandi.Sebelumnya, beberapa atlet memutuskan berpindah ke provinsi lain. Pemprov menganggarkan dana sebesar Rp 20 miliar dari APBD untuk pelaksanaan pelatda PON 2020. Tapi dana pelatda, baik untuk uang saku maupun pembinaan, belum cair, padahal pelatda sudah dimulai sejak Januari lalu.Kepada Dinas Pemuda dan Olahraga DKI Jakarta Ratiyono menyebut bisa jadi dana yang belum cair itu merupakan imbas dualisme KONI DKI Jakarta. Tanpa dana pembinaan, beberapa atlet berpindah ke daerah lain. ""Ada (atlet) yang pindah,"" kata Ratiyono saat dihubungi.",Valid
https://news.detik.com/berita/d-3952030/perceraian-ahok-vero-di-ujung-palu-hakim,Perceraian Ahok-Vero di Ujung Palu Hakim,"Jakarta - Nasib rumah tangga Basuki Tjahaja Purnama (Ahok) dengan Veronica Tan akan diputuskan besok di Pengadilan Negeri (PN) Jakarta Utara. Hakim bakal memutuskan apakah mengabulkan gugatan cerai Ahok atau tidak. ""Sidang ditunda lagi. Sidang putusan tanggal 4 April. Kami hanya berharap gugatan dikabulkan semuanya,"" ucap pengacara Ahok, Josefina Agatha.Ahok dan Vero sebelumnya telah membicarakan soal perceraian ini sejak dulu. Bahkan mediasi dilakukan bertahun-tahun lalu. Namun tidak ada kata sepakat bagi keduanya untuk kembali bersama.  Hingga akhirnya Ahok memutuskan menggugat cerai Vero lewat pengadilan.Bukan tanpa sebab Ahok menggugat Vero. Isu kehadiran orang ketiga begitu santer menyeruak di antara hubungan mereka. Ialah sosok Julianto Tio yang disebut sebagai 'good friend' Vero. ""Ya namanya orang bercerai ada sebab-akibat. Karena memang ada 'good friend' dan memang, maaf, saya tidak tahu seperti apa orangnya, tapi kok begitu tega menyakiti keluarga sendiri, menyakiti anak dan istrinya,"" kata Fifi kepada wartawan di PN Jakut, Jl Gajah Mada, Jakarta Pusat, Rabu (31/1/2018). ""Ini sudah terjadi selama 7 tahun, baik Pak Ahok secara pribadi maupun Sean (anak sulung Ahok-Vero) secara pribadi juga pernah mendatangi Julianto Tio itu untuk meminta kepada beliau (Julianto), waktu beliau (Ahok) masih jadi gubernur. Meminta baik-baik supaya meninggalkan istrinya demi keutuhan keluarga masing-masing mengingat beliau ini sudah punya keluarga dan anak. Tapi dengan sombongnya, Julianto Tio itu menolak,"" papar Fifi. Fifi mengungkapkan kondisi Ahok yang mendekam di penjara membuatnya harus memutuskan yang terbaik untuk hubungan tersebut. Ahok pun tak tahan.  Kalau memang Julianto Tio menginginkan Bu Vero, ya silakan sekarang,"" ucap Fifi. Dalam tiap persidangan, Vero tak pernah hadir. Pihak pengadilan menegaskan bahwa sebenarnya Vero sebagai tergugat tetap wajib hadir.  Kalau dia tidak hadir ya terserah ini masalah perdata, masalah kekeluargaan mereka dalam arti gugatan perceraian mereka,"" jelas pejabat Humas PN Jakarta Utara Jootje Sampelang di kantornya, Jl Gajah Mada, Jakarta Pusat, Rabu (31/1). Kini, nasib bahtera rumah tangga yang mereka bangun lebih dari 20 tahun berada di ujung palu hakim. Akankah Ahok dan Vero bakal berpisah atau tetap bersatu? Hakim yang memutuskan.",Valid
https://news.detik.com/berita/d-3952017/soal-kontroversi-puisi-gp-ansor-harap-kiai-bimbing-sukmawati,"Soal Kontroversi Puisi, GP Ansor Harap Kiai Bimbing Sukmawati","Jakarta - Ketua Umum Pimpinan Pusat Gerakan Pemuda Ansor (GP Ansor) Yaqut Cholil Qoumas menilai pemilihan diksi di puisi 'Ibu Indonesia' karya Sukmawati Soekarnoputri tidak tepat. Salah satunya membandingkan azan dengan kidung.""Puisi ibu Sukmawati memang kontroversial. Apalagi di tengah masyarakat yang sedang mengalami gairah Islamisme demikian kuat. Saya menduga, Sukmawati hanya ingin mengatakan bahwa kita ber-Indonesia itu harus utuh, tidak mempertentangkan antara agama dan kebudayaan,"" kata Yaqut kepada detikcom, Selasa (3/4/2018).""Menggunakan azan sebagai pembanding langgam kidung tentu bukan pilihan diksi yang baik,"" imbuhnya. Ia berharap masyarakat mendengar penjelasan dari Sukma dan tidak langsung melaporkan kejadian ini ke polisi.""Hal ini lebih bijak daripada tiba-tiba melaporkan ke polisi, seolah-olah merasa paling tersakiti atau merasa mewakili umat Islam secara keseluruhan,"" ucapnya.Selain itu, Yaqut berharap para kiai memanggil Sukma jika memang puisi yang dibuatnya itu dinilai keliru. Pemanggilan oleh para kiai itu untuk memberi bimbingan dan nasihat kepada Sukma.""Saya berharap, jika memang puisi Sukmawati dianggap keliru, para kiai turun tangan, panggil Sukmawati, nasihati, dan berikan bimbingan. Bukan buru-buru melaporkan ke polisi. Langkah ini, menurut hemat GP Ansor, akan lebih bijaksana dan efektif meredam kegaduhan-kegaduhan yang tidak perlu,"" ucap Yaqut. Menurut Sukma, tidak ada unsur SARA dalam puisi yang dibacakannya pada acara memperingati 29 Tahun Anne Avantie Berkarya dalam Indonesia Fashion Week 2018 di Jakarta Convention Center, Rabu (28/3) lalu.""Saya nggak ada SARA-nya. Di dalam saya mengarang puisi. Saya sebagai budayawati berperan bukan hanya sebagai Sukmawati saja, namun saya menyelami, menghayati, khususnya ibu-ibu di beberapa daerah. Ada yang banyak tidak mengerti syariat Islam, seperti di Indonesia timur, di Bali, dan daerah lain,"" jelas Sukmawati, Senin (2/4). Hingga saat ini setidaknya ada 3 laporan terkait puisi Sukma tersebut, 1 laporan di Polda Jatim dan 2 laporan di Polda Metro Jaya.",Valid
https://news.detik.com/berita-jawa-timur/d-3951986/mantan-dosen-unair-ditemukan-meninggal-di-dalam-mobil,Mantan Dosen Unair Ditemukan Meninggal di Dalam Mobil,"Surabaya - Seorang pria ditemukan meninggal di dalam mobil Toyota di Jalan Jemursari seberang Hotel Luminor. Pria tersebut diketahui merupakan seorang mantan dosen. Pria tersebut adalah Djoni Budiardjo (69), warga Jalan Palem Utara II/MD Wadungasri, Waru, Sidoarjo. Djoni merupakan mantan Dosen Universitas Airlangga (Unair).Berdasarkan data dari Command Center, saat itu seorang saksi mata bernama Acwan (50) sedang membersihkan sampah di Jalan Jemursari di dekat Hotel Luminor. Acwan kemudian curiga dengan mobil Avanza yang lama tidak bergerak di seberang hotel.""Saksi curiga karena melihat mobil tersebut tidak bergerak lama. Ia kemudian melapor kepada security hotel. Kemudian mereka cek bersama-sama. Ternyata pengemudi mobil sudah dalam keadaan meninggal dunia,"" kata Petugas BPB Linmas Erika kepada detikcom, Selasa (3/4/2018).Pengemudi mobil yang diketahui bernama Djoni Budiardjo tersebut terkulai lemah di kursi pengemudi. Adanya sabuk pengaman membuat tubuh Djoni tertahan dan tak terjatuh. Setelah mendapatkan laporan tersebut, tim command center datang ke lokasi.Petugas mengevakuasi jenazah ke kamar mayat (Foto: istimewa)""Kemudian jenazah dievakuasi petugas ke kamar jenazah RSU dr Soetomo,"" ungkap Erika.Belum diketahui dengan pasti penyebab kematian korban. Menurut Erika berdasarkan keterangan dari keluarga, Djoni menderita penyakit diabetes.Ketua Pusat Informasi dan Humas (PIH) Universitas Airlangga (Unair) Surabaya Suko Widodo membenarkan bahwa Djoni merupakan keluarga besar Unair.""Beliau pernah jadi dosen FEB Unair, tetapi sudah pensiun sejak dua tahun lalu. Untuk memastikan lagi, teman-teman dosen datang ke kamar jenazah,"" kata Suko Widodo.",Valid
https://news.detik.com/berita/d-3951978/arahan-khusus-jokowi-ke-tni-polri-jelang-pilpres,Arahan Khusus Jokowi ke TNI-Polri Jelang Pilpres,"Jakarta - Presiden Joko Widodo (Jokowi) memberikan arahan khusus kepada TNI dan Polri menjelang tahun politik. Jokowi meminta TNI dan Polri menjaga netralitas.""(Presiden Jokowi) mengingatkan tentang posisi TNI dan Polri. Saya kira cukup baik buat kita yang memang dipercayakan untuk dapat kenaikan pangkat bahwa kita juga berkomitmen bahwa TNI dan Polri itu akan mendukung netralitas yang sudah ditentukan atau kebijakan pemerintah,"" ujar Wakil Kepala Staf Angkatan Udara (Wakasau) Marsda Wieko Syofyan di kompleks Istana Kepresidenan, Jakarta, Selasa (3/4/2018). Menurut Wieko, tak banyak pesan yang disampaikan Jokowi selain mengenai menjaga netralitas tersebut.Bukan kali ini saja Jokowi mengingatkan TNI-Polri soal netralitas. Jokowi juga berpesan kepada TNI dan Polri agar menjaga netralitas saat memberikan arahan dalam rapat pimpinan (rapim) TNI-Polri tahun 2018 di Mabes TNI.""Pesan Bapak Presiden, tetap TNI dan Polri menjaga netralitas dalam pelaksanaan Pilkada 2018 dan tahapan Pemilu 2019,"" kata Panglima TNI Marsekal Hadi Tjahjanto seusai acara pengarahan Presiden Jokowi di Mabes TNI, Jalan Cilangkap, Jakarta Timur, Selasa (23/1).""Sehingga harapan beliau berjalan dengan baik dan lancar, tidak ada permasalahan berarti,"" ujar Hadi.Hadi juga telah menekankan netralitas TNI dalam pemilu. Ia akan memastikan TNI menjadi institusi negara yang tak berafiliasi dengan kepentingan golongan politik mana pun.""TNI harus menjadi suatu institusi negara yang netral dan tidak berafiliasi dengan kepentingan golongan politik mana pun. Kebijakan TNI dalam pengamanan pemilu tentu tetap berpedoman pada kebijakan pemerintah. Yaitu penguatan pertahanan dan stabilitas politik dan keamanan,"" ujar Hadi saat menjadi pemateri dalam rakernas Partai Golkar di Hotel Sultan, Jakarta, Kamis (22/3).Kapolri Jenderal Tito Karnavian juga menegaskan institusinya netral dalam pergelaran Pilkada Serentak 2018. Tito juga mengeluarkan surat Telegram Rahasia (TR) terkait netralitas Polri ini.""Saya mengeluarkan TR untuk menjaga netralitas. Kepada siapa pun juga, siapa pun paslonnya, kita memiliki sanksi internal, kode etik. Masyarakat bisa melihat ini era bukan zaman dulu, ini 'zaman now'. Zaman IT cukup dengan kita kalau ada yang tidak netral sedikit di-capture. Pasti kita investigasi internal. Kita tidak ingin mengorbankan institusi demi perorangan, itu yang penting,"" kata Tito dalam program 'Mata Najwa' yang ditayangkan Trans7, Rabu (10/1).",Valid
https://news.detik.com/berita-jawa-timur/d-3951972/ini-pengendara-mobil-yang-sebabkan-polisi-madiun-tewas,Ini Pengendara Mobil yang Sebabkan Polisi Madiun Tewas,"Madiun - Polisi telah mengamankan pengendara mobil Toyota Avanza penyebab meninggalnya Aipda Atok Wahudi. Pengendara itu adalah Krisna Surya Wijaya (29) warga Desa Kaibon, Kecamatan Geger, Kabupaten Madiun.""Jadi pengendara mobil Avanza yang dikejar korban sudah kami amankan setelah kami sempat berkejar-kejaran. Pengendara berusaha kabur sudah sampai Nguntoronadi, Kawedanan dan muter sampai Taketan lagi. Kami hentikan dekat rumah makan joglo,"" jelas Kapolsek Takeran AKP Susilo Budi Santoso saat di hubungi detikcom Selasa (3/4/2018).Krisna, kata Susilo, diamankan sekitar pukul 16.00 WIB dan saat ini telah di serahkan ke Polresta Madiun. Sebelum dibawa ke Polresta Madiun, lanjut Susilo, pengendara sempat diamankan di Polsek Takeran. Sebelumnya tadi kami amankan dulu di Polsek Takeran,"" terang Susilo.Terjadi pengejaran mobil Avanza warna hitam bernopol AE 1462 FL. Mobil itu tidak mau berhenti saat sedang ada razia Satuan Lantas Polres Madiun. Karena tidak berhenti korban sempat menduga mobil tersebut pelaku kejahatan, dan mengejarnya.Saat mengejar mobil yang diduga pelaku kejahatan tersebut korban bersama rekannya, menggunakan motor Yamaha Aerox bernopol AE 5464 CC. Setibanya di lokasi kejadian, Jalan Raya Nguntoronadi Magetan Atok lemas dan tidak bisa mengendalikan motor yang dikemudikannya dan terjatuh. Korban meninggal di lokasi.",Valid
https://news.detik.com/berita/d-3951973/sandiaga-targetkan-proyek-stadion-bmw-dimulai-oktober,Sandiaga Targetkan Proyek Stadion BMW Dimulai Oktober,"Wakil Gubernur DKI Jakarta Sandiaga Uno menargetkan pengerjaan tahap awal Stadion BMW dilakukan pada Oktober. Stadion ini diperuntukkan bagi klub Persija.""Mudah-mudahan bulan Oktober sudah dilakukan pengerjaan awal di Stadion BMW,"" kata Sandiaga di Balai Kota, Jalan Medan Merdeka Selatan, Jakarta Pusat, Selasa (3/4/2018).Sandi menjelaskan, sebelum masuk tahap pengerjaan, Pemprov DKI melakukan konsultasi dengan publik. Setelah itu, akan dilanjutkan untuk fase prastudi kelayakan.""Pra-feasibility study ini yang rencananya nanti akan disusul oleh penunjukan bulan Mei, sekitar bulan Mei akhir, untuk pemrakarsa melakukan finalisasi persiapan. Rencananya, bulan Agustus akan dilakukan lelangnya. Oktober, September, ditunjuk,"" papar Sandi.Pergub soal kemitraan pemerintah dengan badan usaha, disebut Sandi, sudah ditandatangani Gubernur DKI Jakarta Anies Baswedan. Kata Sandi, pergub itu juga berisi tentang kemitraan pemerintah terkait pembangunan Stadion BMW.""Pergubnya sudah ditandatangani minggu lalu. Untuk pemrosesan pemrakarsa kita sudah menerima lebih dari 10 dari calon pemrakarsa,"" kata dia.""Karena sifatnya ini sangat urgen untuk dilakukan dengan segera pemprov melihat ada preferensi untuk memasukkan ini dalam skema unsolicited karena kebutuhan stadion ini sangat cepat,"" terang Sandi.",Valid
